Reaction ,Label,Annotation
R1,126,Norm
,127,HC1
,128,NSFM1
,129,CSA1
,130,SA1
,131,SA2
R2,126,Norm
,127,HC2
,128,NSFM2
,129,CSA2
,130,SA3
,131,SA4
R3,126,Norm
,127,HC3
,128,NSFM3
,129,CSA3
,130,SA5
,131,SA6
R4,126,Norm
,127,HC4
,128,NSFM4
,129,CCB1
,130,CB1
,131,CB2
R5,126,Norm
,127,HC5
,128,NSFM5
,129,CCB2
,130,CB3
,131,CB4
R6,126,Norm
,127,HC6
,128,NSFM6
,129,CCB3
,130,CB5
,131,CB6
R7,126,Norm
,127,HC7
,128,NSFM7
,129,CSA4
,130,SF5
,131,SF9
R8,126,Norm
,127,HC8
,128,NSFM8
,129,CCB4
,130,SF6
,131,SF10
R9,126,Norm
,127,HC9
,128,SF1
,129,SF3
,130,SF7
,131,SF11
R10,126,Norm
,127,HC10
,128,SF2
,129,SF4
,130,SF8
,131,SF12
